querySetID;query;encodings;max_card;min_max_step
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id!=2 AND mi_idx.info_type_id=6 AND t.production_year>=2091;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<2 AND mi_idx.info_type_id=27 AND t.production_year>=1986;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=2 AND mi_idx.info_type_id!=85 AND t.production_year>=1906;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=2 AND mi_idx.info_type_id>=93 AND t.production_year<=1997;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id>=1 AND mi_idx.info_type_id!=36 AND t.production_year<=1950;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=1 AND mi_idx.info_type_id>=37 AND t.production_year>2113;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=1 AND mi_idx.info_type_id>111 AND t.production_year>=1887;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=2 AND mi_idx.info_type_id>56 AND t.production_year<2068;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=2 AND mi_idx.info_type_id<=65 AND t.production_year!=1953;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id!=2 AND mi_idx.info_type_id>=91 AND t.production_year!=2109;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=1 AND mi_idx.info_type_id>=43 AND t.production_year<=2082;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id>1 AND mi_idx.info_type_id<100 AND t.production_year<2113;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=2 AND mi_idx.info_type_id!=109 AND t.production_year<=2032;[];134163798;[[1, 2, 1], [1, 113, 1], [1874, 2115, 1]]
